,ID,Language,Subscription Type,Subscription Event Type,Purchase Store,Purchase Amount,Currency,Subscription Start Date,Subscription Expiration,Demo User,Free Trial User,Free Trial Start Date,Free Trial Expiration,Auto Renew,Country,User Type,Lead Platform,Email Subscriber,Push Notifications,Send Count,Open Count,Click Count,Unique Open Count,Unique Click Count,InvoiceDate,Cluster
1482,5291,ALL,Limited,INITIAL_PURCHASE,Web,95.88,USD,2020-03-21,2021-03-21,No,Yes,3/18/2020,3/21/2020,On,US/Canada,Consumer,Web,Yes,Yes,57.0,56.0,8.0,25.0,2.0,2020-03-21,0
1485,5310,POR,Limited,INITIAL_PURCHASE,Web,39.0,USD,2019-07-11,2019-10-14,No,Yes,7/11/2019,7/14/2019,Off,US/Canada,Consumer,Web,Yes,Yes,37.0,0.0,0.0,0.0,0.0,2019-07-11,1
1488,5311,EBR,Limited,RENEWAL,Web,19.32,USD,2020-01-02,2020-05-07,No,Yes,1/2/2020,1/5/2020,On,Europe,Consumer,Web,No,Yes,18.0,6.0,6.0,1.0,1.0,2020-01-02,1
1491,5319,EBR,Limited,INITIAL_PURCHASE,Web,114.34,USD,2020-01-10,2020-07-13,No,Yes,1/10/2020,1/13/2020,Off,Europe,Consumer,Web,No,Yes,14.0,12.0,5.0,7.0,3.0,2020-01-10,0
1494,5331,ALL,Lifetime,INITIAL_PURCHASE,Web,199.0,USD,2020-03-18,2099-01-01,No,Yes,3/17/2020,3/20/2020,Off,US/Canada,Consumer,Web,Yes,Yes,9.0,4.0,3.0,2.0,1.0,2020-03-18,0
1497,5347,ESP,Limited,INITIAL_PURCHASE,Web,41.26,USD,2019-11-16,2020-03-03,No,Yes,11/16/2019,11/19/2019,Off,US/Canada,Consumer,Web,Yes,Yes,51.0,13.0,0.0,7.0,0.0,2019-11-16,1
1500,5358,ESP,Limited,INITIAL_PURCHASE,Web,21.76,USD,2019-10-22,2019-12-30,No,Yes,10/22/2019,10/25/2019,Off,US/Canada,Consumer,Web,No,Yes,18.0,3.0,1.0,3.0,1.0,2019-10-22,1
1503,5359,CHI,Limited,RENEWAL,Web,35.97,USD,2019-05-21,2020-05-24,No,Yes,5/21/2019,5/24/2019,On,US/Canada,Consumer,Web,Yes,Yes,10.0,9.0,9.0,2.0,2.0,2019-05-21,1
1506,5364,ALL,Lifetime,INITIAL_PURCHASE,Web,199.0,USD,2020-03-15,2099-01-01,No,Yes,1/17/2020,1/20/2020,Off,US/Canada,Consumer,Web,Yes,Yes,127.0,28.0,11.0,12.0,2.0,2020-03-15,0
1509,5365,ALL,Lifetime,INITIAL_PURCHASE,Web,204.12,USD,2020-03-01,2099-01-01,No,Yes,2/8/2020,2/11/2020,Off,US/Canada,Consumer,Web,Yes,Yes,66.0,38.0,18.0,13.0,2.0,2020-03-01,0
1512,5386,ALL,Lifetime,INITIAL_PURCHASE,Web,214.92,USD,2019-12-25,2099-01-01,No,Yes,12/29/2019,1/1/2020,Off,US/Canada,Consumer,Web,Yes,Yes,3.0,0.0,0.0,0.0,0.0,2019-12-25,0
1515,5398,ALL,Lifetime,INITIAL_PURCHASE,Web,189.0,USD,2020-02-20,2099-01-01,No,Yes,10/31/2019,11/3/2019,Off,US/Canada,Consumer,Web,Yes,Yes,102.0,42.0,15.0,36.0,12.0,2020-02-20,0
1518,5405,ENG,Limited,RENEWAL,Web,35.97,USD,2019-05-31,2020-06-03,No,Yes,5/31/2019,6/3/2019,On,US/Canada,Consumer,Web,Yes,Yes,9.0,8.0,0.0,2.0,0.0,2019-05-31,1
1521,5455,GRK,Limited,INITIAL_PURCHASE,Web,68.8,USD,2020-01-07,2020-04-25,No,Yes,1/7/2020,1/10/2020,On,Europe,Consumer,Web,No,Yes,16.0,6.0,3.0,5.0,2.0,2020-01-07,1
1524,5467,VIE,Limited,INITIAL_PURCHASE,Web,18.92,USD,2019-05-20,2019-08-20,Yes,Yes,3/2/2020,3/5/2020,Off,Europe,Consumer,Web,No,Yes,1.0,0.0,0.0,0.0,0.0,2019-05-20,2
1527,5477,JPN,Limited,INITIAL_PURCHASE,Web,35.97,USD,2019-09-22,2019-12-25,No,Yes,9/22/2019,9/25/2019,Off,US/Canada,Consumer,Web,Yes,Yes,18.0,0.0,0.0,0.0,0.0,2019-09-22,1
1530,5483,EBR,Limited,INITIAL_PURCHASE,Web,75.38,USD,2019-12-11,2020-06-14,No,Yes,12/11/2019,12/14/2019,On,Europe,Consumer,Web,No,Yes,3.0,3.0,0.0,2.0,0.0,2019-12-11,1
1533,5485,DEU,Limited,INITIAL_PURCHASE,Web,35.97,USD,2020-03-16,2020-06-19,No,Yes,3/16/2020,3/19/2020,On,US/Canada,Consumer,Web,Yes,Yes,27.0,21.0,4.0,2.0,1.0,2020-03-16,0
1536,5496,ESP,Limited,RENEWAL,Web,35.97,USD,2019-08-27,2020-05-29,No,Yes,8/27/2019,8/30/2019,On,Other,Consumer,Web,Yes,Yes,2.0,0.0,0.0,0.0,0.0,2019-08-27,1
1539,5508,ESP,Limited,RENEWAL,Web,35.97,USD,2019-09-30,2020-07-03,No,Yes,9/30/2019,10/3/2019,On,US/Canada,Consumer,Web,Yes,Yes,3.0,0.0,0.0,0.0,0.0,2019-09-30,1
1542,5526,EBR,Limited,INITIAL_PURCHASE,Web,65.94,USD,2019-12-10,2021-01-17,No,Yes,12/11/2019,12/14/2019,On,Europe,Consumer,Web,No,Yes,81.0,80.0,13.0,32.0,3.0,2019-12-10,1
1545,5532,CHI,Limited,RENEWAL,Web,35.97,USD,2019-12-30,2020-07-02,No,Yes,12/30/2019,1/2/2020,Off,US/Canada,Consumer,Web,No,Yes,1.0,1.0,0.0,1.0,0.0,2019-12-30,1
1548,5539,ALL,Lifetime,INITIAL_PURCHASE,Web,199.0,USD,2020-03-22,2099-01-01,No,Yes,11/22/2019,11/25/2019,Off,US/Canada,Consumer,Web,Yes,Yes,329.0,257.0,142.0,108.0,9.0,2020-03-22,0
1551,5570,ALL,Lifetime,INITIAL_PURCHASE,Web,199.0,USD,2020-03-29,2099-01-01,No,Yes,3/21/2020,3/28/2020,Off,US/Canada,Consumer,Web,Yes,Yes,44.0,0.0,0.0,0.0,0.0,2020-03-29,0
1554,5585,FRA,Limited,INITIAL_PURCHASE,Web,79.0,USD,2019-09-11,2019-12-14,No,Yes,9/11/2019,9/14/2019,Off,US/Canada,Consumer,Web,No,Yes,130.0,4.0,3.0,2.0,1.0,2019-09-11,1
1557,5588,HEB,Limited,INITIAL_PURCHASE,Web,61.85,USD,2020-03-15,2020-09-18,No,Yes,3/15/2020,3/18/2020,On,Europe,Consumer,Web,Yes,Yes,31.0,30.0,27.0,3.0,1.0,2020-03-15,0
1560,5591,CHI,Limited,RENEWAL,Web,79.0,USD,2019-07-22,2020-04-25,No,Yes,7/22/2019,7/25/2019,Off,US/Canada,Consumer,Web,Yes,Yes,12.0,9.0,6.0,3.0,1.0,2019-07-22,1
1563,5596,ESC,Limited,INITIAL_PURCHASE,Web,95.91,USD,2020-02-04,2021-02-08,No,Yes,2/4/2020,2/7/2020,Off,Europe,Consumer,Web,No,Yes,11.0,8.0,5.0,4.0,2.0,2020-02-04,0
1566,5608,ESP,Limited,INITIAL_PURCHASE,Web,35.97,USD,2020-01-14,2020-07-17,No,Yes,4/14/2020,4/17/2020,On,US/Canada,Consumer,Web,Yes,Yes,9.0,2.0,0.0,1.0,0.0,2020-01-14,1
1569,5640,ITA,Limited,INITIAL_PURCHASE,Web,34.05,USD,2019-11-03,2020-02-12,No,Yes,11/9/2019,11/12/2019,On,Europe,Consumer,Web,No,Yes,3.0,3.0,0.0,1.0,0.0,2019-11-03,1
1572,5646,EBR,Limited,INITIAL_PURCHASE,Web,39.0,USD,2019-07-22,2019-10-25,No,Yes,7/22/2019,7/25/2019,Off,Europe,Consumer,Web,Yes,Yes,4.0,1.0,0.0,1.0,0.0,2019-07-22,1
1575,5650,EBR,Limited,RENEWAL,Web,13.21,USD,2019-03-15,2020-04-15,No,Yes,3/12/2019,3/15/2019,Off,Europe,Consumer,App,No,Yes,3.0,0.0,0.0,0.0,0.0,2019-03-15,1
1578,5672,NED,Limited,INITIAL_PURCHASE,Web,71.39,USD,2020-01-18,2020-07-22,No,Yes,1/18/2020,1/21/2020,On,Europe,Consumer,Web,No,Yes,1.0,1.0,0.0,1.0,0.0,2020-01-18,1
1581,5687,ITA,Limited,INITIAL_PURCHASE,Web,262.71,USD,2020-01-14,2020-07-17,No,Yes,1/14/2020,1/17/2020,On,Europe,Consumer,Web,No,Yes,76.0,76.0,76.0,3.0,3.0,2020-01-14,0
1584,5705,ALL,Lifetime,INITIAL_PURCHASE,Web,189.0,USD,2020-02-20,2099-01-01,No,Yes,7/26/2018,7/29/2018,Off,US/Canada,Consumer,App,Yes,Yes,114.0,20.0,15.0,6.0,3.0,2020-02-20,0
1587,5714,ALL,Lifetime,INITIAL_PURCHASE,Web,199.0,USD,2020-03-04,2099-01-01,No,Yes,8/30/2019,9/2/2019,Off,US/Canada,Consumer,Web,Yes,Yes,134.0,3.0,2.0,3.0,2.0,2020-03-04,0
1590,5718,ALL,Lifetime,INITIAL_PURCHASE,Web,216.16,USD,2020-02-20,2099-01-01,No,Yes,2/16/2020,2/19/2020,Off,US/Canada,Consumer,Web,Yes,Yes,7.0,0.0,0.0,0.0,0.0,2020-02-20,0
1593,5729,CHI,Limited,INITIAL_PURCHASE,Web,131.88,USD,2020-03-23,2020-09-23,No,Yes,3/23/2020,3/26/2020,On,US/Canada,Consumer,Web,Yes,Yes,14.0,10.0,0.0,5.0,0.0,2020-03-23,0
1596,5731,ALL,Lifetime,INITIAL_PURCHASE,Web,189.0,USD,2020-02-26,2099-01-01,No,Yes,2/21/2020,2/24/2020,Off,Other,Consumer,Web,No,Yes,5.0,4.0,4.0,1.0,1.0,2020-02-26,0
1599,5759,KOR,Limited,INITIAL_PURCHASE,Web,38.25,USD,2020-02-17,2020-05-20,No,Yes,2/17/2020,2/20/2020,Off,US/Canada,Consumer,Web,Yes,Yes,24.0,12.0,8.0,3.0,1.0,2020-02-17,1
1602,5764,FRA,Limited,RENEWAL,Web,79.0,USD,2019-08-06,2020-05-09,No,Yes,8/6/2019,8/9/2019,On,Other,Consumer,Web,Yes,Yes,5.0,5.0,0.0,2.0,0.0,2019-08-06,1
1605,5775,ALL,Lifetime,INITIAL_PURCHASE,Web,189.0,USD,2020-03-20,2099-01-01,Yes,Yes,3/19/2020,3/22/2020,Off,US/Canada,Consumer,App,No,Yes,6.0,5.0,0.0,2.0,0.0,2020-03-20,2
1608,5781,ESP,Limited,INITIAL_PURCHASE,Web,38.13,USD,2019-12-10,2020-03-13,No,Yes,12/10/2019,12/13/2019,Off,US/Canada,Consumer,Web,Yes,Yes,23.0,2.0,0.0,1.0,0.0,2019-12-10,1
1611,5793,ITA,Limited,RENEWAL,Web,35.97,USD,2020-01-10,2020-07-13,No,Yes,1/10/2020,1/13/2020,On,US/Canada,Consumer,Web,Yes,Yes,14.0,11.0,0.0,5.0,0.0,2020-01-10,1
1614,5811,ALL,Lifetime,INITIAL_PURCHASE,Web,210.94,USD,2020-03-20,2099-01-01,No,Yes,3/15/2020,3/18/2020,Off,US/Canada,Consumer,Web,Yes,Yes,27.0,19.0,13.0,5.0,3.0,2020-03-20,0
1617,5825,DEU,Limited,INITIAL_PURCHASE,Web,35.97,USD,2020-03-20,2020-06-23,No,Yes,3/20/2020,3/23/2020,On,US/Canada,Consumer,Web,Yes,Yes,10.0,5.0,3.0,3.0,1.0,2020-03-20,0
1620,5854,ALL,Lifetime,INITIAL_PURCHASE,Web,199.0,USD,2020-03-25,2099-01-01,No,Yes,3/19/2020,3/22/2020,Off,Other,Consumer,Web,No,Yes,41.0,36.0,34.0,4.0,3.0,2020-03-25,0
1623,5859,ALL,Limited,INITIAL_PURCHASE,Web,192.39,USD,2020-03-22,2021-03-22,No,Yes,3/22/2020,3/25/2020,Off,US/Canada,Consumer,Web,Yes,Yes,54.0,50.0,36.0,8.0,5.0,2020-03-22,0
1626,5887,TGL,Lifetime,INITIAL_PURCHASE,Web,189.0,USD,2019-12-31,2099-01-01,No,Yes,12/31/2019,1/3/2020,Off,US/Canada,Consumer,Web,Yes,Yes,4.0,0.0,0.0,0.0,0.0,2019-12-31,0
1629,5898,SVE,Limited,INITIAL_PURCHASE,Web,83.85,USD,2020-03-27,2020-06-30,No,Yes,3/27/2020,3/30/2020,Off,Europe,Consumer,Web,Yes,Yes,37.0,33.0,15.0,7.0,3.0,2020-03-27,0
1632,5905,ALL,Lifetime,INITIAL_PURCHASE,Web,212.13,USD,2019-11-23,2099-01-01,No,Yes,11/23/2019,11/26/2019,Off,US/Canada,Consumer,Web,Yes,Yes,2.0,0.0,0.0,0.0,0.0,2019-11-23,0
1635,5922,FRA,Limited,INITIAL_PURCHASE,Web,65.94,USD,2019-11-15,2020-11-15,No,Yes,11/24/2019,11/27/2019,On,US/Canada,Consumer,Web,Yes,Yes,71.0,4.0,0.0,3.0,0.0,2019-11-15,1
1638,5926,ARA,Limited,INITIAL_PURCHASE,Web,74.23,USD,2020-02-09,2020-09-16,No,Yes,2/9/2020,2/12/2020,On,Europe,Consumer,Web,No,Yes,6.0,6.0,6.0,1.0,1.0,2020-02-09,0
1641,5979,GRK,Limited,INITIAL_PURCHASE,Web,39.0,USD,2019-06-24,2019-09-27,No,Yes,6/24/2019,6/27/2019,Off,US/Canada,Consumer,Web,No,Yes,25.0,3.0,3.0,1.0,1.0,2019-06-24,1
1644,5982,ESP,Limited,INITIAL_PURCHASE,Web,43.45,USD,2019-11-17,2020-03-23,No,Yes,11/17/2019,11/20/2019,On,US/Canada,Consumer,App,Yes,Yes,6.0,1.0,1.0,1.0,1.0,2019-11-17,1
1647,5986,FAR,Limited,RENEWAL,Web,79.0,USD,2019-08-01,2020-05-04,No,Yes,8/1/2019,8/4/2019,On,US/Canada,Consumer,Web,Yes,Yes,12.0,10.0,0.0,2.0,0.0,2019-08-01,1
1650,5992,SVE,Limited,INITIAL_PURCHASE,Web,39.0,USD,2019-07-04,2019-10-07,No,Yes,7/4/2019,7/7/2019,Off,US/Canada,Consumer,Web,Yes,Yes,17.0,0.0,0.0,0.0,0.0,2019-07-04,1
1653,5997,JPN,Limited,INITIAL_PURCHASE,Web,35.97,USD,2019-09-11,2019-12-20,No,Yes,9/11/2019,9/14/2019,Off,US/Canada,Consumer,Web,Yes,Yes,20.0,0.0,0.0,0.0,0.0,2019-09-11,1
1656,4030,DEU,Limited,INITIAL_PURCHASE,Web,35.97,USD,2020-03-24,2020-06-29,Yes,Yes,3/24/2020,3/27/2020,On,US/Canada,Consumer,App,Yes,Yes,21.0,16.0,12.0,2.0,1.0,2020-03-24,2
1659,6020,ESP,Limited,RENEWAL,Web,79.0,USD,2019-06-20,2020-04-12,No,Yes,6/20/2019,6/23/2019,Off,Other,Consumer,Web,Yes,Yes,8.0,3.0,2.0,2.0,1.0,2019-06-20,1
1662,6021,ENG,Limited,INITIAL_PURCHASE,Web,71.39,USD,2020-01-03,2020-07-10,No,Yes,1/3/2020,1/6/2020,Off,Europe,Consumer,Web,No,Yes,9.0,4.0,4.0,1.0,1.0,2020-01-03,1
1665,6028,KOR,Limited,RENEWAL,Web,35.97,USD,2019-06-11,2020-06-16,No,Yes,6/11/2019,6/14/2019,On,US/Canada,Consumer,Web,Yes,Yes,3.0,0.0,0.0,0.0,0.0,2019-06-11,1
1668,6029,FRA,Limited,RENEWAL,Web,35.97,USD,2020-01-07,2020-07-10,No,Yes,1/7/2020,1/10/2020,On,US/Canada,Consumer,Web,No,Yes,2.0,2.0,0.0,2.0,0.0,2020-01-07,1
1671,6035,FRA,Limited,INITIAL_PURCHASE,Web,35.97,USD,2019-10-24,2020-02-06,No,Yes,1/2/2020,1/5/2020,Off,US/Canada,Consumer,Web,Yes,Yes,122.0,14.0,0.0,10.0,0.0,2019-10-24,1
1674,6047,ALL,Lifetime,INITIAL_PURCHASE,Web,199.0,USD,2020-01-25,2099-01-01,No,Yes,1/7/2020,1/10/2020,Off,US/Canada,Consumer,App,Yes,Yes,49.0,45.0,7.0,23.0,3.0,2020-01-25,0
1677,6050,ENG,Limited,RENEWAL,Web,35.97,USD,2019-12-29,2020-06-29,No,Yes,11/6/2019,11/9/2019,On,US/Canada,Consumer,Web,Yes,Yes,82.0,38.0,28.0,10.0,5.0,2019-12-29,1
1680,6056,JPN,Limited,RENEWAL,Web,79.0,USD,2019-08-09,2020-05-12,No,Yes,8/9/2019,8/12/2019,On,US/Canada,Consumer,Web,Yes,Yes,3.0,0.0,0.0,0.0,0.0,2019-08-09,1
1683,6087,FRA,Limited,INITIAL_PURCHASE,Web,39.0,USD,2019-07-11,2019-10-14,No,Yes,7/11/2019,7/14/2019,Off,US/Canada,Consumer,Web,Yes,Yes,160.0,7.0,0.0,7.0,0.0,2019-07-11,1
1686,6091,ITA,Limited,RENEWAL,Web,79.0,USD,2018-10-12,2020-05-05,No,Yes,10/31/2019,11/3/2019,On,US/Canada,Consumer,Web,Yes,Yes,8.0,2.0,0.0,1.0,0.0,2018-10-12,1
1689,6092,ESP,Limited,INITIAL_PURCHASE,Web,37.77,USD,2020-03-17,2020-06-23,No,Yes,3/20/2020,3/23/2020,On,US/Canada,Consumer,Web,Yes,Yes,13.0,8.0,7.0,1.0,1.0,2020-03-17,0
1692,6095,ENG,Limited,INITIAL_PURCHASE,Web,83.49,USD,2019-11-06,2021-02-03,No,Yes,11/6/2019,11/9/2019,On,Europe,Consumer,Web,No,Yes,32.0,31.0,12.0,19.0,6.0,2019-11-06,1
1695,6113,TGL,Limited,INITIAL_PURCHASE,Web,35.97,USD,2019-07-28,2019-12-13,No,Yes,7/28/2019,7/31/2019,Off,US/Canada,Consumer,Web,Yes,Yes,22.0,0.0,0.0,0.0,0.0,2019-07-28,1
1698,6118,ENG,Limited,INITIAL_PURCHASE,Web,35.97,USD,2020-02-25,2020-05-28,Yes,Yes,2/25/2020,2/28/2020,On,US/Canada,Consumer,App,Yes,Yes,12.0,5.0,0.0,2.0,0.0,2020-02-25,2
1701,6150,FRA,Limited,INITIAL_PURCHASE,Web,65.94,USD,2019-12-15,2021-01-20,No,Yes,12/15/2019,12/18/2019,On,Other,Consumer,Web,No,Yes,149.0,148.0,68.0,37.0,10.0,2019-12-15,1
1704,6161,RUS,Limited,INITIAL_PURCHASE,Web,39.0,USD,2019-08-21,2019-11-24,No,Yes,8/21/2019,8/24/2019,Off,Europe,Consumer,Web,Yes,Yes,121.0,2.0,0.0,2.0,0.0,2019-08-21,1
1707,6164,ALL,Lifetime,INITIAL_PURCHASE,Web,240.79,USD,2020-02-23,2099-01-01,No,Yes,2/20/2020,2/23/2020,Off,Europe,Consumer,Web,No,Yes,1.0,0.0,0.0,0.0,0.0,2020-02-23,0
1710,6165,ENG,Limited,INITIAL_PURCHASE,Web,35.97,USD,2020-02-02,2020-05-02,No,Yes,1/14/2020,1/17/2020,On,Europe,Consumer,Web,No,Yes,32.0,26.0,14.0,12.0,3.0,2020-02-02,1
1713,6168,EBR,Limited,INITIAL_PURCHASE,Web,47.19,USD,2019-11-30,2020-05-30,No,Yes,11/29/2019,12/2/2019,Off,Europe,Consumer,Web,Yes,Yes,37.0,9.0,0.0,8.0,0.0,2019-11-30,1
1716,6180,ALL,Lifetime,INITIAL_PURCHASE,Web,212.13,USD,2020-02-25,2099-01-01,No,Yes,2/23/2020,2/26/2020,Off,US/Canada,Consumer,Web,Yes,Yes,9.0,2.0,0.0,1.0,0.0,2020-02-25,0
1719,6184,EBR,Limited,INITIAL_PURCHASE,Web,29.64,USD,2020-01-21,2020-04-24,Yes,Yes,1/21/2020,1/24/2020,Off,Europe,Consumer,Web,No,Yes,30.0,29.0,27.0,2.0,1.0,2020-01-21,2
1722,6191,ESP,Limited,INITIAL_PURCHASE,Web,35.97,USD,2020-03-29,2020-06-29,No,Yes,3/24/2020,3/27/2020,On,Other,Consumer,Web,Yes,Yes,8.0,0.0,0.0,0.0,0.0,2020-03-29,0
1725,6212,ENG,Limited,INITIAL_PURCHASE,Web,119.88,USD,2019-09-19,2020-09-22,No,Yes,9/19/2019,9/22/2019,On,US/Canada,Consumer,Web,Yes,Yes,3.0,1.0,0.0,1.0,0.0,2019-09-19,1
1728,6214,ALL,Lifetime,INITIAL_PURCHASE,Web,199.0,USD,2020-03-18,2099-01-01,No,Yes,3/16/2020,3/19/2020,Off,US/Canada,Consumer,Web,Yes,Yes,12.0,6.0,0.0,1.0,0.0,2020-03-18,0
1731,6239,ITA,Limited,RENEWAL,Web,79.0,USD,2019-07-20,2019-12-24,No,Yes,7/20/2019,7/23/2019,Off,US/Canada,Consumer,Web,No,Yes,10.0,2.0,1.0,2.0,1.0,2019-07-20,1
1734,6243,RUS,Limited,INITIAL_PURCHASE,Web,23.72,USD,2020-01-13,2020-04-16,No,Yes,1/13/2020,1/16/2020,Off,Europe,Consumer,Web,No,Yes,6.0,4.0,2.0,3.0,1.0,2020-01-13,1
1737,6245,ALL,Limited,INITIAL_PURCHASE,Web,221.01,USD,2020-03-31,2021-03-31,No,Yes,3/12/2020,3/15/2020,On,Europe,Consumer,Web,Yes,Yes,33.0,30.0,14.0,10.0,3.0,2020-03-31,0
1740,6246,ALL,Lifetime,INITIAL_PURCHASE,Web,199.0,USD,2020-03-20,2099-01-01,No,Yes,3/17/2020,3/20/2020,Off,US/Canada,Consumer,Web,Yes,Yes,9.0,9.0,0.0,4.0,0.0,2020-03-20,0
1743,6257,CHI,Limited,RENEWAL,Web,79.0,USD,2019-07-07,2020-01-10,No,Yes,7/7/2019,7/10/2019,Off,US/Canada,Consumer,Web,Yes,Yes,5.0,0.0,0.0,0.0,0.0,2019-07-07,1
1746,6261,FRA,Limited,INITIAL_PURCHASE,Web,35.97,USD,2020-03-16,2020-06-20,No,Yes,3/16/2020,3/19/2020,On,US/Canada,Consumer,Web,No,Yes,5.0,5.0,0.0,2.0,0.0,2020-03-16,0
1749,6275,ALL,Lifetime,INITIAL_PURCHASE,Web,199.0,USD,2020-03-24,2099-01-01,No,Yes,3/24/2020,3/27/2020,Off,US/Canada,Consumer,Web,Yes,Yes,8.0,1.0,0.0,1.0,0.0,2020-03-24,0
1752,6276,FRA,Limited,INITIAL_PURCHASE,Web,35.97,USD,2020-03-29,2020-07-05,No,Yes,3/29/2020,4/5/2020,On,US/Canada,Consumer,Web,Yes,Yes,43.0,40.0,38.0,4.0,3.0,2020-03-29,0
1755,6285,ESP,Limited,RENEWAL,Web,109.0,USD,2019-03-26,2020-09-26,No,Yes,2/22/2020,2/25/2020,On,US/Canada,Consumer,Web,Yes,Yes,35.0,26.0,0.0,3.0,0.0,2019-03-26,1
1758,6297,VIE,Limited,INITIAL_PURCHASE,Web,35.09,USD,2019-12-08,2020-03-08,No,Yes,11/24/2019,11/27/2019,Off,Europe,Consumer,Web,No,Yes,1.0,0.0,0.0,0.0,0.0,2019-12-08,1
1761,6309,ESC,Limited,INITIAL_PURCHASE,Web,39.39,USD,2019-06-22,2019-09-25,No,Yes,6/22/2019,6/25/2019,Off,US/Canada,Consumer,Web,Yes,Yes,167.0,18.0,0.0,16.0,0.0,2019-06-22,1
1764,6331,ENG,Limited,INITIAL_PURCHASE,Web,37.91,USD,2019-10-23,2020-01-26,No,Yes,10/23/2019,10/26/2019,Off,US/Canada,Consumer,Web,Yes,Yes,2.0,1.0,0.0,1.0,0.0,2019-10-23,1
1767,6337,DEU,Limited,RENEWAL,Web,119.0,USD,2019-08-25,2020-08-29,No,Yes,8/25/2019,8/28/2019,On,US/Canada,Consumer,Web,No,Yes,3.0,2.0,0.0,1.0,0.0,2019-08-25,1
1770,6338,ENG,Limited,RENEWAL,Web,79.0,USD,2019-08-02,2020-02-05,No,Yes,8/2/2019,8/5/2019,Off,US/Canada,Consumer,Web,Yes,Yes,85.0,27.0,0.0,14.0,0.0,2019-08-02,1
1773,6344,EBR,Limited,INITIAL_PURCHASE,Web,64.61,USD,2020-01-17,2020-07-26,No,Yes,1/17/2020,1/20/2020,Off,Europe,Consumer,Web,No,Yes,59.0,54.0,21.0,10.0,2.0,2020-01-17,1
1776,6346,ENG,Limited,INITIAL_PURCHASE,Web,107.69,USD,2020-01-01,2020-07-04,No,Yes,1/1/2020,1/4/2020,On,Europe,Consumer,Web,No,Yes,289.0,289.0,2.0,4.0,1.0,2020-01-01,0
1779,6348,FRA,Limited,RENEWAL,Web,35.97,USD,2019-08-17,2020-05-20,No,Yes,8/17/2019,8/20/2019,On,Other,Consumer,Web,Yes,Yes,2.0,0.0,0.0,0.0,0.0,2019-08-17,1
1782,6354,KOR,Limited,INITIAL_PURCHASE,Web,35.97,USD,2020-03-21,2020-06-27,No,Yes,3/24/2020,3/27/2020,On,Other,Consumer,Web,No,Yes,1.0,0.0,0.0,0.0,0.0,2020-03-21,0
1785,6355,ESP,Limited,INITIAL_PURCHASE,Web,71.79,USD,2019-11-05,2021-01-24,No,Yes,11/5/2019,11/8/2019,On,US/Canada,Consumer,Web,Yes,Yes,81.0,51.0,6.0,25.0,2.0,2019-11-05,1
1788,6357,ESP,Limited,INITIAL_PURCHASE,Web,65.94,USD,2019-08-06,2020-02-14,No,Yes,8/6/2019,8/9/2019,Off,US/Canada,Consumer,Web,Yes,Yes,63.0,9.0,0.0,6.0,0.0,2019-08-06,1
1791,6358,ALL,Lifetime,INITIAL_PURCHASE,Web,210.94,USD,2020-03-13,2099-01-01,No,Yes,3/13/2020,3/16/2020,Off,US/Canada,Consumer,Web,Yes,Yes,6.0,1.0,0.0,1.0,0.0,2020-03-13,0
1794,6373,HEB,Limited,INITIAL_PURCHASE,Web,65.94,USD,2019-10-24,2020-05-08,No,Yes,10/24/2019,10/27/2019,Off,US/Canada,Consumer,Web,Yes,Yes,3.0,2.0,0.0,2.0,0.0,2019-10-24,1
1797,6384,FRA,Limited,RENEWAL,Web,35.97,USD,2019-08-26,2020-05-29,No,Yes,8/26/2019,8/29/2019,On,US/Canada,Consumer,Web,Yes,Yes,3.0,0.0,0.0,0.0,0.0,2019-08-26,1
1800,6386,GLE,Limited,RENEWAL,Web,35.97,USD,2019-10-27,2020-07-11,No,Yes,12/18/2019,12/21/2019,On,US/Canada,Consumer,Web,Yes,Yes,32.0,6.0,0.0,3.0,0.0,2019-10-27,1
1803,6392,ITA,Limited,RENEWAL,Web,35.97,USD,2019-09-19,2020-07-03,No,Yes,9/19/2019,9/22/2019,On,US/Canada,Consumer,Web,Yes,Yes,5.0,1.0,0.0,1.0,0.0,2019-09-19,1
1806,6394,ITA,Limited,INITIAL_PURCHASE,Web,35.97,USD,2019-12-21,2020-06-29,No,Yes,12/21/2019,12/24/2019,Off,US/Canada,Consumer,Web,Yes,Yes,47.0,38.0,32.0,5.0,1.0,2019-12-21,1
1809,6402,ENG,Limited,INITIAL_PURCHASE,Web,39.16,USD,2019-11-17,2020-02-17,No,Yes,11/17/2019,11/20/2019,Off,US/Canada,Consumer,Web,Yes,Yes,9.0,0.0,0.0,0.0,0.0,2019-11-17,1
1812,6408,ALL,Lifetime,INITIAL_PURCHASE,Web,189.0,USD,2020-02-25,2099-01-01,No,Yes,2/24/2020,2/27/2020,Off,US/Canada,Consumer,Web,Yes,Yes,9.0,2.0,0.0,1.0,0.0,2020-02-25,0
1815,6427,ESP,Limited,INITIAL_PURCHASE,Web,35.97,USD,2019-12-03,2020-03-13,No,Yes,12/3/2019,12/6/2019,Off,US/Canada,Consumer,App,Yes,Yes,22.0,1.0,0.0,1.0,0.0,2019-12-03,1
1818,6431,ENG,Limited,INITIAL_PURCHASE,Web,156.09,USD,2020-02-29,2020-08-29,No,Yes,2/20/2020,2/23/2020,On,Europe,Consumer,Web,No,Yes,14.0,7.0,2.0,4.0,1.0,2020-02-29,0
